NOC,Year,Sport,sport_num_athletes,sport_medal_gold,sport_medal_silver,sport_medal_bronze,sport_num_female_athletes,sport_num_male_athletes,num_games_sports_each_year,rank_country_year,total_gold_country_year,total_silver_country_year,total_bronze_country_year,total_medal_country_year,total_athelete_country_year,host_status,future_host_status
United States,2008,Softball,15,0,15,0,15,0,1,2,36,39,37,112,587,0,0
United States,2008,Shooting,22,2,2,2,8,14,15,2,36,39,37,112,587,0,0
United States,2008,Sailing,17,1,1,0,7,10,11,2,36,39,37,112,587,0,0
United States,2008,Rowing,45,9,1,9,19,26,14,2,36,39,37,112,587,0,0
United States,2008,Modern Pentathlon,4,0,0,0,2,2,2,2,36,39,37,112,587,0,0
United States,2008,Judo,10,0,0,1,3,7,14,2,36,39,37,112,587,0,0
United States,2008,Hockey,16,0,0,0,16,0,0,2,36,39,37,112,587,0,0
United States,2008,Swimming,43,31,21,16,21,22,0,2,36,39,37,112,587,0,0
San Marino,2008,Athletics,1,0,0,0,0,1,47,0,0,0,0,0,4,0,0
Switzerland,2008,Beach Volleyball,6,0,0,0,2,4,0,34,2,1,4,7,83,0,0
Switzerland,2008,Athletics,7,0,0,0,2,5,47,34,2,1,4,7,83,0,0
Palestine,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,4,0,0
United States,2008,Wrestling,16,1,0,2,4,12,18,2,36,39,37,112,587,0,0
United States,2008,Weightlifting,6,0,0,0,4,2,15,2,36,39,37,112,587,0,0
United States,2008,Water Polo,26,0,26,0,13,13,0,2,36,39,37,112,587,0,0
Spain,2008,Athletics,54,0,0,0,22,32,47,14,5,11,3,19,282,0,0
Spain,2008,Badminton,2,0,0,0,1,1,5,14,5,11,3,19,282,0,0
Spain,2008,Basketball,24,0,12,0,12,12,2,14,5,11,3,19,282,0,0
Switzerland,2008,Badminton,2,0,0,0,1,1,5,34,2,1,4,7,83,0,0
Palau,2008,Wrestling,2,0,0,0,0,2,18,0,0,0,0,0,5,0,0
Palau,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,5,0,0
Paraguay,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,7,0,0
Paraguay,2008,Sailing,1,0,0,0,1,0,11,0,0,0,0,0,7,0,0
Paraguay,2008,Shooting,1,0,0,0,1,0,15,0,0,0,0,0,7,0,0
Paraguay,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,7,0,0
Paraguay,2008,Table Tennis,1,0,0,0,0,1,4,0,0,0,0,0,7,0,0
Switzerland,2008,Archery,1,0,0,0,1,0,4,34,2,1,4,7,83,0,0
Palau,2008,Swimming,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0
United Kingdom,2008,Sailing,18,7,2,1,7,11,11,4,19,13,19,51,0,0,1
Japan,2008,Athletics,37,0,4,0,15,22,47,8,9,8,8,25,332,0,0
Brazil,2008,Taekwondo,3,0,0,1,2,1,8,23,3,4,10,17,265,0,0
Guatemala,2008,Sailing,1,0,0,0,0,1,11,0,0,0,0,0,12,0,0
Guatemala,2008,Modern Pentathlon,1,0,0,0,1,0,2,0,0,0,0,0,12,0,0
Mali,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,17,0,0
Mali,2008,Basketball,12,0,0,0,12,0,2,0,0,0,0,0,17,0,0
Mali,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,17,0,0
Mali,2008,Taekwondo,1,0,0,0,0,1,8,0,0,0,0,0,17,0,0
Guatemala,2008,Equestrianism,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0
Guatemala,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,12,0,0
Guatemala,2008,Shooting,1,0,0,0,0,1,15,0,0,0,0,0,12,0,0
Guatemala,2008,Badminton,1,0,0,0,0,1,5,0,0,0,0,0,12,0,0
Cape Verde,2008,Rhythmic Gymnastics,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Guam,2008,Wrestling,1,0,0,0,1,0,18,0,0,0,0,0,6,0,0
Guam,2008,Swimming,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0
Guam,2008,Judo,1,0,0,0,0,1,14,0,0,0,0,0,6,0,0
Guam,2008,Canoeing,1,0,0,0,0,1,16,0,0,0,0,0,6,0,0
Malta,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,6,0,0
Malta,2008,Judo,1,0,0,0,1,0,14,0,0,0,0,0,6,0,0
Malta,2008,Shooting,1,0,0,0,0,1,15,0,0,0,0,0,6,0,0
Guatemala,2008,Athletics,4,0,0,0,1,3,47,0,0,0,0,0,12,0,0
Guatemala,2008,Swimming,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0
Guatemala,2008,Weightlifting,1,0,0,0,0,1,15,0,0,0,0,0,12,0,0
Maldives,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0
Malaysia,2008,Archery,3,0,0,0,0,3,4,72,0,1,0,1,31,0,0
Malaysia,2008,Athletics,3,0,0,0,2,1,47,72,0,1,0,1,31,0,0
Malaysia,2008,Badminton,9,0,1,0,3,6,5,72,0,1,0,1,31,0,0
Malaysia,2008,Cycling,3,0,0,0,0,3,18,72,0,1,0,1,31,0,0
Malaysia,2008,Diving,4,0,0,0,3,1,0,72,0,1,0,1,31,0,0
Malaysia,2008,Sailing,1,0,0,0,0,1,11,72,0,1,0,1,31,0,0
Malaysia,2008,Shooting,1,0,0,0,0,1,15,72,0,1,0,1,31,0,0
Malaysia,2008,Swimming,5,0,0,0,4,1,0,72,0,1,0,1,31,0,0
Malaysia,2008,Taekwondo,2,0,0,0,2,0,8,72,0,1,0,1,31,0,0
Malaysia,2008,Weightlifting,1,0,0,0,0,1,15,72,0,1,0,1,31,0,0
Guyana,2008,Swimming,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0
Guyana,2008,Athletics,3,0,0,0,2,1,47,0,0,0,0,0,4,0,0
Guinea-Bissau,2008,Wrestling,1,0,0,0,0,1,18,0,0,0,0,0,0,0,0
Guinea-Bissau,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,0,0,0
Guinea,2008,Taekwondo,1,0,0,0,1,0,8,0,0,0,0,0,5,0,0
Guinea,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,5,0,0
Guinea,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,5,0,0
Cape Verde,2008,Athletics,1,0,0,0,0,1,47,0,0,0,0,0,2,0,0
Maldives,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,4,0,0
Malta,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,6,0,0
Guam,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,6,0,0
Cayman Islands,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,4,0,0
Cayman Islands,2008,Swimming,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0
Greece,2008,Synchronized Swimming,2,0,0,0,2,0,0,60,0,2,1,3,152,0,0
Greece,2008,Swimming,18,0,0,0,7,11,0,60,0,2,1,3,152,0,0
Greece,2008,Shooting,1,0,0,0,0,1,15,60,0,2,1,3,152,0,0
Greece,2008,Sailing,12,0,0,3,5,7,11,60,0,2,1,3,152,0,0
Greece,2008,Rowing,5,0,2,0,2,3,14,60,0,2,1,3,152,0,0
Greece,2008,Rhythmic Gymnastics,7,0,0,0,7,0,0,60,0,2,1,3,152,0,0
Greece,2008,Judo,3,0,0,0,0,3,14,60,0,2,1,3,152,0,0
Mexico,2008,Archery,4,0,0,0,2,2,4,36,2,0,2,4,83,0,0
Mexico,2008,Athletics,23,0,0,0,9,14,47,36,2,0,2,4,83,0,0
Mexico,2008,Badminton,1,0,0,0,1,0,5,36,2,0,2,4,83,0,0
Mexico,2008,Boxing,3,0,0,0,0,3,11,36,2,0,2,4,83,0,0
Mexico,2008,Canoeing,3,0,0,0,0,3,16,36,2,0,2,4,83,0,0
Mexico,2008,Cycling,2,0,0,0,1,1,18,36,2,0,2,4,83,0,0
Mexico,2008,Diving,7,0,0,2,4,3,0,36,2,0,2,4,83,0,0
Mexico,2008,Equestrianism,5,0,0,0,1,4,0,36,2,0,2,4,83,0,0
Mexico,2008,Fencing,1,0,0,0,1,0,10,36,2,0,2,4,83,0,0
Mexico,2008,Gymnastics,1,0,0,0,1,0,18,36,2,0,2,4,83,0,0
Mexico,2008,Judo,2,0,0,0,1,1,14,36,2,0,2,4,83,0,0
Mexico,2008,Modern Pentathlon,2,0,0,0,1,1,2,36,2,0,2,4,83,0,0
Greece,2008,Table Tennis,3,0,0,0,0,3,4,60,0,2,1,3,152,0,0
Malawi,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0
Greece,2008,Taekwondo,3,0,1,0,2,1,8,60,0,2,1,3,152,0,0
Greece,2008,Triathlon,1,0,0,0,1,0,2,60,0,2,1,3,152,0,0
Grenada,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,9,0,0
Grenada,2008,Athletics,8,0,0,0,5,3,47,0,0,0,0,0,9,0,0
Central African Republic,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,3,0,0
Central African Republic,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,3,0,0
Marshall Islands,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,5,0,0
Marshall Islands,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,5,0,0
Marshall Islands,2008,Taekwondo,1,0,0,0,0,1,8,0,0,0,0,0,5,0,0
Chad,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,2,0,0
Mauritania,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,2,0,0
Mauritius,2008,Archery,1,0,0,0,1,0,4,82,0,0,1,1,11,0,0
Mauritius,2008,Athletics,3,0,0,0,1,2,47,82,0,0,1,1,11,0,0
Mauritius,2008,Badminton,1,0,0,0,1,0,5,82,0,0,1,1,11,0,0
Mauritius,2008,Boxing,2,0,0,1,0,2,11,82,0,0,1,1,11,0,0
Mauritius,2008,Cycling,1,0,0,0,1,0,18,82,0,0,1,1,11,0,0
Mauritius,2008,Swimming,2,0,0,0,1,1,0,82,0,0,1,1,11,0,0
Mauritius,2008,Weightlifting,1,0,0,0,0,1,15,82,0,0,1,1,11,0,0
Greece,2008,Wrestling,3,0,0,0,0,3,18,60,0,2,1,3,152,0,0
Greece,2008,Weightlifting,4,0,0,0,1,3,15,60,0,2,1,3,152,0,0
Greece,2008,Water Polo,26,0,0,0,13,13,0,60,0,2,1,3,152,0,0
Greece,2008,Tennis,2,0,0,0,2,0,4,60,0,2,1,3,152,0,0
Malawi,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,4,0,0
Haiti,2008,Athletics,4,0,0,0,3,1,47,0,0,0,0,0,7,0,0
Haiti,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,7,0,0
Canada,2008,Tennis,3,0,0,0,0,3,4,20,3,9,8,20,332,0,0
Canada,2008,Trampolining,3,0,2,0,2,1,0,20,3,9,8,20,332,0,0
Canada,2008,Triathlon,6,0,1,0,3,3,2,20,3,9,8,20,332,0,0
Canada,2008,Water Polo,13,0,0,0,0,13,0,20,3,9,8,20,332,0,0
Canada,2008,Weightlifting,5,0,0,0,3,2,15,20,3,9,8,20,332,0,0
Canada,2008,Wrestling,10,1,0,1,4,6,18,20,3,9,8,20,332,0,0
Hungary,2008,Wrestling,9,0,1,0,1,8,18,21,3,5,2,10,169,0,0
Hungary,2008,Weightlifting,1,0,0,0,0,1,15,21,3,5,2,10,169,0,0
Hungary,2008,Water Polo,26,13,0,0,13,13,0,21,3,5,2,10,169,0,0
Hungary,2008,Triathlon,2,0,0,0,1,1,2,21,3,5,2,10,169,0,0
Hungary,2008,Tennis,2,0,0,0,2,0,4,21,3,5,2,10,169,0,0
Hungary,2008,Table Tennis,4,0,0,0,3,1,4,21,3,5,2,10,169,0,0
Hungary,2008,Swimming,28,0,3,0,14,14,0,21,3,5,2,10,169,0,0
Hungary,2008,Shooting,5,0,0,0,3,2,15,21,3,5,2,10,169,0,0
Hungary,2008,Sailing,3,0,0,0,1,2,11,21,3,5,2,10,169,0,0
Hungary,2008,Rowing,2,0,0,0,0,2,14,21,3,5,2,10,169,0,0
Hungary,2008,Modern Pentathlon,4,0,0,0,2,2,2,21,3,5,2,10,169,0,0
Hungary,2008,Judo,6,0,0,0,3,3,14,21,3,5,2,10,169,0,0
Hungary,2008,Handball,14,0,0,0,14,0,2,21,3,5,2,10,169,0,0
Canada,2008,Taekwondo,3,0,1,0,2,1,8,20,3,9,8,20,332,0,0
Hungary,2008,Gymnastics,2,0,0,0,1,1,18,21,3,5,2,10,169,0,0
Canada,2008,Table Tennis,5,0,0,0,2,3,4,20,3,9,8,20,332,0,0
Canada,2008,Swimming,27,0,0,1,12,15,0,20,3,9,8,20,332,0,0
Canada,2008,Athletics,29,0,0,2,11,18,47,20,3,9,8,20,332,0,0
Canada,2008,Badminton,4,0,0,0,2,2,5,20,3,9,8,20,332,0,0
Canada,2008,Baseball,24,0,0,0,0,24,1,20,3,9,8,20,332,0,0
Canada,2008,Boxing,1,0,0,0,0,1,11,20,3,9,8,20,332,0,0
Canada,2008,Canoeing,21,0,1,1,6,15,16,20,3,9,8,20,332,0,0
Canada,2008,Cycling,15,0,0,0,7,8,18,20,3,9,8,20,332,0,0
Canada,2008,Diving,10,0,2,0,6,4,0,20,3,9,8,20,332,0,0
Canada,2008,Equestrianism,12,1,4,0,7,5,0,20,3,9,8,20,332,0,0
Canada,2008,Fencing,9,0,0,0,6,3,10,20,3,9,8,20,332,0,0
Canada,2008,Football,18,0,0,0,18,0,2,20,3,9,8,20,332,0,0
Canada,2008,Gymnastics,8,0,0,0,2,6,18,20,3,9,8,20,332,0,0
Canada,2008,Hockey,16,0,0,0,0,16,0,20,3,9,8,20,332,0,0
Canada,2008,Judo,5,0,0,0,1,4,14,20,3,9,8,20,332,0,0
Canada,2008,Modern Pentathlon,3,0,0,0,2,1,2,20,3,9,8,20,332,0,0
Canada,2008,Rhythmic Gymnastics,1,0,0,0,1,0,0,20,3,9,8,20,332,0,0
Canada,2008,Rowing,35,9,2,6,17,18,14,20,3,9,8,20,332,0,0
Canada,2008,Sailing,14,0,0,0,5,9,11,20,3,9,8,20,332,0,0
Canada,2008,Shooting,4,0,0,0,2,2,15,20,3,9,8,20,332,0,0
Canada,2008,Softball,15,0,0,0,15,0,1,20,3,9,8,20,332,0,0
Canada,2008,Synchronized Swimming,9,0,0,0,9,0,0,20,3,9,8,20,332,0,0
Mexico,2008,Rowing,3,0,0,0,2,1,14,36,2,0,2,4,83,0,0
Hungary,2008,Fencing,15,0,0,1,7,8,10,21,3,5,2,10,169,0,0
Hungary,2008,Cycling,5,0,0,0,1,4,18,21,3,5,2,10,169,0,0
Hong Kong,2008,Swimming,4,0,0,0,4,0,0,0,0,0,0,0,34,0,0
Hong Kong,2008,Shooting,1,0,0,0,0,1,15,0,0,0,0,0,34,0,0
Hong Kong,2008,Sailing,2,0,0,0,1,1,11,0,0,0,0,0,34,0,0
Hong Kong,2008,Rowing,4,0,0,0,1,3,14,0,0,0,0,0,34,0,0
Hong Kong,2008,Fencing,3,0,0,0,2,1,10,0,0,0,0,0,34,0,0
Hong Kong,2008,Equestrianism,3,0,0,0,1,2,0,0,0,0,0,0,34,0,0
Hong Kong,2008,Cycling,4,0,0,0,1,3,18,0,0,0,0,0,34,0,0
Hong Kong,2008,Badminton,3,0,0,0,2,1,5,0,0,0,0,0,34,0,0
Hong Kong,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,34,0,0
Honduras,2008,Taekwondo,1,0,0,0,0,1,8,0,0,0,0,0,25,0,0
Honduras,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,25,0,0
Honduras,2008,Rowing,1,0,0,0,0,1,14,0,0,0,0,0,25,0,0
Madagascar,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,6,0,0
Madagascar,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,6,0,0
Madagascar,2008,Judo,1,0,0,0,0,1,14,0,0,0,0,0,6,0,0
Madagascar,2008,Swimming,2,0,0,0,1,1,0,0,0,0,0,0,6,0,0
Honduras,2008,Football,19,0,0,0,0,19,2,0,0,0,0,0,25,0,0
Honduras,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,25,0,0
Haiti,2008,Judo,2,0,0,0,1,1,14,0,0,0,0,0,7,0,0
Hong Kong,2008,Table Tennis,6,0,0,0,3,3,4,0,0,0,0,0,34,0,0
Hungary,2008,Diving,2,0,0,0,2,0,0,21,3,5,2,10,169,0,0
Hong Kong,2008,Triathlon,2,0,0,0,1,1,2,0,0,0,0,0,34,0,0
Luxembourg,2008,Table Tennis,1,0,0,0,1,0,4,0,0,0,0,0,13,0,0
Hungary,2008,Canoeing,16,3,4,2,4,12,16,21,3,5,2,10,169,0,0
Hungary,2008,Boxing,5,0,0,0,0,5,11,21,3,5,2,10,169,0,0
Hungary,2008,Athletics,20,0,0,0,11,9,47,21,3,5,2,10,169,0,0
Austria,2008,Shooting,3,0,0,0,0,3,15,64,0,1,2,3,70,0,0
Austria,2008,Sailing,11,0,0,0,2,9,11,64,0,1,2,3,70,0,0
Austria,2008,Rhythmic Gymnastics,1,0,0,0,1,0,0,64,0,1,2,3,70,0,0
Austria,2008,Judo,3,0,1,0,2,1,14,64,0,1,2,3,70,0,0
Austria,2008,Fencing,1,0,0,0,0,1,10,64,0,1,2,3,70,0,0
Austria,2008,Equestrianism,2,0,0,0,1,1,0,64,0,1,2,3,70,0,0
Austria,2008,Diving,3,0,0,0,2,1,0,64,0,1,2,3,70,0,0
Austria,2008,Cycling,6,0,0,0,3,3,18,64,0,1,2,3,70,0,0
Austria,2008,Canoeing,4,0,0,1,3,1,16,64,0,1,2,3,70,0,0
Austria,2008,Beach Volleyball,6,0,0,0,2,4,0,64,0,1,2,3,70,0,0
Austria,2008,Athletics,3,0,0,0,1,2,47,64,0,1,2,3,70,0,0
Luxembourg,2008,Cycling,3,0,0,0,0,3,18,0,0,0,0,0,13,0,0
Luxembourg,2008,Gymnastics,1,0,0,0,0,1,18,0,0,0,0,0,13,0,0
Luxembourg,2008,Judo,1,0,0,0,1,0,14,0,0,0,0,0,13,0,0
Luxembourg,2008,Sailing,1,0,0,0,0,1,11,0,0,0,0,0,13,0,0
Luxembourg,2008,Swimming,4,0,0,0,1,3,0,0,0,0,0,0,13,0,0
Luxembourg,2008,Triathlon,2,0,0,0,1,1,2,0,0,0,0,0,13,0,0
Mexico,2008,Sailing,3,0,0,0,2,1,11,36,2,0,2,4,83,0,0
Mexico,2008,Shooting,4,0,0,0,1,3,15,36,2,0,2,4,83,0,0
Mexico,2008,Swimming,6,0,0,0,4,2,0,36,2,0,2,4,83,0,0
Georgia,2008,Wrestling,10,2,0,2,0,10,18,28,3,2,2,7,35,0,0
Georgia,2008,Weightlifting,3,0,0,0,0,3,15,28,3,2,2,7,35,0,0
Georgia,2008,Trampolining,1,0,0,0,1,0,0,28,3,2,2,7,35,0,0
Georgia,2008,Swimming,2,0,0,0,1,1,0,28,3,2,2,7,35,0,0
Australia,2008,Athletics,40,1,2,1,17,23,47,6,14,15,17,46,432,0,0
Australia,2008,Archery,5,0,0,0,2,3,4,6,14,15,17,46,432,0,0
Georgia,2008,Shooting,1,0,0,1,1,0,15,28,3,2,2,7,35,0,0
Georgia,2008,Judo,7,1,0,0,0,7,14,28,3,2,2,7,35,0,0
Georgia,2008,Gymnastics,1,0,0,0,0,1,18,28,3,2,2,7,35,0,0
Georgia,2008,Boxing,2,0,0,0,0,2,11,28,3,2,2,7,35,0,0
Georgia,2008,Beach Volleyball,4,0,0,0,2,2,0,28,3,2,2,7,35,0,0
Georgia,2008,Athletics,2,0,0,0,1,1,47,28,3,2,2,7,35,0,0
Georgia,2008,Archery,2,0,0,0,2,0,4,28,3,2,2,7,35,0,0
China,2008,Modern Pentathlon,4,0,0,0,2,2,2,1,48,22,30,100,583,1,0
China,2008,Rhythmic Gymnastics,7,0,6,0,7,0,0,1,48,22,30,100,583,1,0
Aruba,2008,Swimming,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Aruba,2008,Judo,1,0,0,0,0,1,14,0,0,0,0,0,2,0,0
China,2008,Rowing,31,4,2,0,11,20,14,1,48,22,30,100,583,1,0
China,2008,Sailing,18,1,0,1,7,11,11,1,48,22,30,100,583,1,0
China,2008,Judo,14,3,0,1,7,7,14,1,48,22,30,100,583,1,0
China,2008,Shooting,24,5,2,1,9,15,15,1,48,22,30,100,583,1,0
China,2008,Hockey,33,0,16,0,16,17,0,1,48,22,30,100,583,1,0
China,2008,Gymnastics,12,19,1,4,6,6,18,1,48,22,30,100,583,1,0
Germany,2008,Archery,2,0,0,0,1,1,4,5,16,11,14,41,420,0,0
China,2008,Archery,6,1,3,3,3,3,4,1,48,22,30,100,583,1,0
China,2008,Athletics,64,0,0,2,38,26,47,1,48,22,30,100,583,1,0
China,2008,Badminton,19,4,3,5,10,9,5,1,48,22,30,100,583,1,0
China,2008,Baseball,24,0,0,0,0,24,1,1,48,22,30,100,583,1,0
China,2008,Basketball,24,0,0,0,12,12,2,1,48,22,30,100,583,1,0
Australia,2008,Canoeing,16,1,1,6,5,11,16,6,14,15,17,46,432,0,0
Australia,2008,Boxing,9,0,0,0,0,9,11,6,14,15,17,46,432,0,0
Australia,2008,Beach Volleyball,4,0,0,0,2,2,0,6,14,15,17,46,432,0,0
Australia,2008,Basketball,24,0,12,0,12,12,2,6,14,15,17,46,432,0,0
Australia,2008,Badminton,6,0,0,0,3,3,5,6,14,15,17,46,432,0,0
China,2008,Beach Volleyball,6,0,2,2,4,2,0,1,48,22,30,100,583,1,0
China,2008,Boxing,10,2,1,1,0,10,11,1,48,22,30,100,583,1,0
China,2008,Canoeing,23,2,0,0,7,16,16,1,48,22,30,100,583,1,0
China,2008,Cycling,12,0,0,1,7,5,18,1,48,22,30,100,583,1,0
China,2008,Diving,10,11,1,3,4,6,0,1,48,22,30,100,583,1,0
China,2008,Equestrianism,6,0,0,0,1,5,0,1,48,22,30,100,583,1,0
China,2008,Fencing,20,1,4,0,10,10,10,1,48,22,30,100,583,1,0
China,2008,Football,35,0,0,0,16,19,2,1,48,22,30,100,583,1,0
China,2008,Handball,30,0,0,0,15,15,2,1,48,22,30,100,583,1,0
Germany,2008,Athletics,53,0,0,1,30,23,47,5,16,11,14,41,420,0,0
China,2008,Softball,15,0,0,0,15,0,1,1,48,22,30,100,583,1,0
Monaco,2008,Athletics,1,0,0,0,0,1,47,0,0,0,0,0,5,0,0
Mongolia,2008,Weightlifting,1,0,0,0,1,0,15,33,2,2,0,4,28,0,0
Mongolia,2008,Wrestling,6,0,0,0,3,3,18,33,2,2,0,4,28,0,0
China,2008,Wrestling,16,1,2,0,4,12,18,1,48,22,30,100,583,1,0
Armenia,2008,Wrestling,9,0,0,2,0,9,18,62,0,1,4,5,24,0,0
Armenia,2008,Weightlifting,5,0,0,3,1,4,15,62,0,1,4,5,24,0,0
Armenia,2008,Swimming,1,0,0,0,0,1,0,62,0,1,4,5,24,0,0
Armenia,2008,Shooting,1,0,0,0,0,1,15,62,0,1,4,5,24,0,0
Armenia,2008,Judo,2,0,0,0,0,2,14,62,0,1,4,5,24,0,0
Armenia,2008,Boxing,4,0,0,1,0,4,11,62,0,1,4,5,24,0,0
Armenia,2008,Athletics,2,0,0,0,1,1,47,62,0,1,4,5,24,0,0
Montenegro,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,19,0,0
Montenegro,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,19,0,0
Montenegro,2008,Judo,1,0,0,0,0,1,14,0,0,0,0,0,19,0,0
Montenegro,2008,Shooting,1,0,0,0,0,1,15,0,0,0,0,0,19,0,0
Montenegro,2008,Swimming,1,0,0,0,1,0,0,0,0,0,0,0,19,0,0
Montenegro,2008,Water Polo,13,0,0,0,0,13,0,0,0,0,0,0,19,0,0
France,2008,Wrestling,9,1,0,1,3,6,18,10,7,16,20,43,309,0,0
France,2008,Weightlifting,4,0,1,0,1,3,15,10,7,16,20,43,309,0,0
France,2008,Triathlon,5,0,0,0,2,3,2,10,7,16,20,43,309,0,0
Mongolia,2008,Swimming,2,0,0,0,1,1,0,33,2,2,0,4,28,0,0
China,2008,Swimming,42,1,7,6,25,17,0,1,48,22,30,100,583,1,0
Mongolia,2008,Shooting,3,0,1,0,3,0,15,33,2,2,0,4,28,0,0
Mongolia,2008,Boxing,4,1,1,0,0,4,11,33,2,2,0,4,28,0,0
Monaco,2008,Judo,1,0,0,0,0,1,14,0,0,0,0,0,5,0,0
Monaco,2008,Rowing,1,0,0,0,0,1,14,0,0,0,0,0,5,0,0
Monaco,2008,Shooting,1,0,0,0,1,0,15,0,0,0,0,0,5,0,0
Monaco,2008,Weightlifting,1,0,0,0,0,1,15,0,0,0,0,0,5,0,0
Gambia,2008,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,3,0,0
Gambia,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,3,0,0
China,2008,Synchronized Swimming,9,0,0,9,9,0,0,1,48,22,30,100,583,1,0
China,2008,Table Tennis,6,8,2,2,3,3,4,1,48,22,30,100,583,1,0
China,2008,Taekwondo,4,1,0,1,2,2,8,1,48,22,30,100,583,1,0
China,2008,Tennis,8,0,0,2,5,3,4,1,48,22,30,100,583,1,0
China,2008,Trampolining,4,2,0,1,2,2,0,1,48,22,30,100,583,1,0
China,2008,Triathlon,3,0,0,0,2,1,2,1,48,22,30,100,583,1,0
China,2008,Volleyball,24,0,0,12,12,12,4,1,48,22,30,100,583,1,0
China,2008,Water Polo,25,0,0,0,13,12,0,1,48,22,30,100,583,1,0
Gabon,2008,Taekwondo,1,0,0,0,0,1,8,0,0,0,0,0,4,0,0
Gabon,2008,Judo,1,0,0,0,1,0,14,0,0,0,0,0,4,0,0
Gabon,2008,Athletics,2,0,0,0,1,1,47,0,0,0,0,0,4,0,0
China,2008,Weightlifting,10,8,1,0,4,6,15,1,48,22,30,100,583,1,0
Mongolia,2008,Athletics,2,0,0,0,1,1,47,33,2,2,0,4,28,0,0
Mongolia,2008,Judo,10,1,0,0,5,5,14,33,2,2,0,4,28,0,0
Canada,2008,Archery,4,0,0,0,1,3,4,20,3,9,8,20,332,0,0
Germany,2008,Badminton,5,0,0,0,3,2,5,5,16,11,14,41,420,0,0
Germany,2008,Beach Volleyball,8,0,0,0,4,4,0,5,16,11,14,41,420,0,0
Mexico,2008,Weightlifting,2,0,0,0,2,0,15,36,2,0,2,4,83,0,0
Mexico,2008,Wrestling,1,0,0,0,0,1,18,36,2,0,2,4,83,0,0
Chile,2008,Sailing,1,0,0,0,0,1,11,72,0,1,0,1,26,0,0
Chile,2008,Shooting,1,0,0,0,0,1,15,72,0,1,0,1,26,0,0
Chile,2008,Swimming,2,0,0,0,1,1,0,72,0,1,0,1,26,0,0
Chile,2008,Tennis,2,0,1,0,0,2,4,72,0,1,0,1,26,0,0
Chile,2008,Triathlon,1,0,0,0,1,0,2,72,0,1,0,1,26,0,0
Chile,2008,Weightlifting,1,0,0,0,1,0,15,72,0,1,0,1,26,0,0
Australia,2008,Wrestling,4,0,0,0,1,3,18,6,14,15,17,46,432,0,0
Australia,2008,Weightlifting,2,0,0,0,1,1,15,6,14,15,17,46,432,0,0
Australia,2008,Water Polo,26,0,0,13,13,13,0,6,14,15,17,46,432,0,0
Australia,2008,Triathlon,5,1,0,1,3,2,2,6,14,15,17,46,432,0,0
Australia,2008,Trampolining,1,0,0,0,0,1,0,6,14,15,17,46,432,0,0
Australia,2008,Tennis,8,0,0,0,4,4,4,6,14,15,17,46,432,0,0
